region,wear_percent,emergency_houses,группа износа
Республика Адыгея,"45,20",12,
Республика Алтай,"60,10",25,
Алтайский край,"52,30",45,
Амурская область,"48,90",18,
Архангельская область,"55,60",32,
Астраханская область,"44,80",22,
Белгородская область,"39,70",8,
Брянская область,"58,20",29,
Владимирская область,"61,50",51,
Волгоградская область,"49,30",27,
Вологодская область,"53,80",24,
Воронежская область,"42,10",14,
Еврейская автономная область,"62,70",9,
Забайкальский край,"59,40",31,
Ивановская область,"64,20",38,
Иркутская область,"56,90",42,
Кабардино-Балкарская Республика,"41,30",11,
Калининградская область,"37,50",6,
Калужская область,"46,80",17,
Камчатский край,"51,20",13,
Карачаево-Черкесская Республика,"43,90",10,
Кемеровская область,"57,70",48,
Кировская область,"54,10",26,
Костромская область,"59,80",20,
Краснодарский край,"40,50",33,
Красноярский край,"50,70",39,
Курганская область,"63,30",28,
Курская область,"47,60",16,
Ленинградская область,"38,20",7,
Липецкая область,"42,90",15,
Магаданская область,"66,10",5,
Московская область,"35,90",19,
Мурманская область,"53,10",21,
Ненецкий автономный округ,"58,60",4,
Нижегородская область,"49,80",37,
Новгородская область,"55,30",23,
Новосибирская область,"52,90",44,
Омская область,"57,10",36,
Оренбургская область,"46,30",30,
Орловская область,"60,90",34,
Пензенская область,"44,70",25,
Пермский край,"51,80",41,
Приморский край,"54,60",47,
Псковская область,"62,40",35,
Республика Башкортостан,"43,50",40,
Республика Бурятия,"56,40",46,
Республика Дагестан,"39,10",2,
Республика Ингушетия,"36,80",1,
Республика Калмыкия,"47,20",49,
Республика Карелия,"50,10",43,
Республика Коми,"53,70",50,
Республика Крым,"41,70",53,
Республика Марий Эл,"48,50",52,
Республика Мордовия,"45,90",55,
Республика Саха (Якутия),"65,30",57,
Республика Северная Осетия-Алания,"40,30",58,
Республика Татарстан,"34,80",59,
Республика Тыва,"68,50",60,
Республика Хакасия,"54,90",54,
Ростовская область,"47,10",56,
Рязанская область,"58,70",61,
Самарская область,"46,50",62,
Саратовская область,"52,10",63,
Сахалинская область,"49,60",64,
Свердловская область,"53,30",65,
Севастополь,"39,50",66,
Смоленская область,"59,20",67,
Ставропольский край,"42,60",68,
Тамбовская область,"55,80",69,
Тверская область,"60,50",70,
Томская область,"51,40",71,
Тульская область,"48,10",72,
Тюменская область,"37,90",73,
Удмуртская Республика,"44,30",74,
Ульяновская область,"50,80",75,
Хабаровский край,"53,50",76,
Ханты-Мансийский автономный округ,"36,40",77,
Челябинская область,"49,90",78,
Чеченская Республика,"35,70",79,
Чувашская Республика,"47,80",80,
Чукотский автономный округ,"70,20",81,
Ярославская область,"56,20",82,
Ямало-Ненецкий автономный округ,"32,10",83,
